,oo
mp-1003736,136.142488
mp-1006112,628.6385462
mp-1011834,192.2244859
mp-1012678,43.813082
mp-1012742,54.84044906
mp-1012791,56.21967852
mp-1013797,119.8702826
mp-1013843,63.68993266
mp-1013874,57.32884962
mp-1016152,243.8124864
mp-10224,194.1274427
mp-10225,194.1274427
mp-1029407,260.2104008
mp-1040459,54.536823
mp-1040460,80.50327893
mp-1076642,217.9264461
mp-1079436,124.1182308
mp-1094113,81.01654941
mp-1094125,77.3896462
mp-1099034,79.10522322
mp-1100440,143.5878135
mp-1101661,235.2621671
mp-1101666,62.29860547
mp-1101673,140.3369022
mp-1101707,98.84444187
mp-1101719,87.30884356
mp-1104133,21.78433579
mp-1105628,83.96343139
mp-1110567,192.1943878
mp-1110571,342.2108932
mp-1111315,169.7880474
mp-1120756,204.7063465
mp-1120777,209.6289896
mp-1120790,279.3085776
mp-1173562,49.35424584
mp-1176347,49.94691128
mp-1176383,36.22587892
mp-1176395,104.7350793
mp-1176648,49.94691128
mp-1176765,50.11632352
mp-1180113,46.17686616
mp-1186037,644.1925195
mp-1186073,629.8193482
mp-1190392,47.50658412
mp-1192230,106.409497
mp-1196197,162.8906241
mp-1198166,195.0185014
mp-1198236,130.82204
mp-1199740,17.9555192
mp-1203835,171.9752046
mp-1205097,27.24467182
mp-1210001,44.88694395
mp-1210050,43.98108277
mp-1210177,46.16279477
mp-1210501,108.1342006
mp-1220765,18.95869222
mp-1220892,41.73853696
mp-1220907,60.8315002
mp-1220910,53.62726088
mp-1220924,75.36384864
mp-1220949,159.6611907
mp-1221017,65.09448973
mp-1221022,27.78958251
mp-1221035,161.780851
mp-1221066,235.2621671
mp-1221142,8.76742593
mp-1221294,175.6032523
mp-1221323,81.08689361
mp-1221415,28.45555204
mp-1221416,22.11146206
mp-1221421,32.02287307
mp-1221427,45.80206698
mp-1221437,16.73807872
mp-1221460,103.6629973
mp-1221482,16.78326122
mp-1221553,26.72745227
mp-1222418,129.7824866
mp-1224118,53.07739568
mp-1238805,105.0042092
mp-1272321,243.8124864
mp-1274483,235.7584172
mp-1296331,141.9041073
mp-1297798,166.2379497
mp-1312265,141.9041073
mp-1368703,192.2244859
mp-1518948,36.67165338
mp-1522095,36.83972689
mp-16381,28.11088701
mp-17142,107.6670871
mp-17461,109.4831329
mp-17479,108.1251644
mp-17876,123.5962655
mp-17967,155.0121968
mp-17999,178.7660645
mp-18245,151.5112537
mp-18435,91.51226849
mp-18493,219.4310433
mp-18774,106.0277052
mp-18921,235.2621671
mp-18957,243.8124864
mp-18999,44.70274543
mp-19149,235.7584172
mp-19226,154.2033123
mp-19261,192.2027349
mp-19280,87.30884356
mp-19287,118.5388717
mp-19291,144.9496307
mp-19328,105.1748017
mp-19349,116.4799591
mp-19359,241.8173602
mp-19367,117.9885336
mp-19391,253.0110792
mp-19427,214.5313145
mp-19470,99.94575974
mp-19482,93.42930214
mp-19844,15.69642268
mp-21036,243.8124864
mp-21213,84.74447871
mp-21590,183.0305899
mp-21792,112.6682426
mp-21867,116.0226384
mp-21966,49.38749691
mp-21996,112.7819326
mp-22135,191.5797091
mp-22614,83.72554199
mp-23689,145.2264962
mp-27569,186.2095037
mp-28262,114.5928103
mp-28649,43.65645328
mp-29356,146.6795113
mp-3332,38.35810182
mp-3744,181.219719
mp-38257,80.70125395
mp-4541,226.1068759
mp-505090,147.1957236
mp-505102,40.62545023
mp-532334,14.27360454
mp-541674,53.62614431
mp-542710,136.142488
mp-542864,132.3890101
mp-553997,108.1190127
mp-554777,147.6607611
mp-554790,116.1172942
mp-556404,249.4468036
mp-556540,130.4441592
mp-556822,94.54823681
mp-557171,63.0010291
mp-557315,172.4677932
mp-557578,53.1109247
mp-557638,51.96268175
mp-557716,84.12291468
mp-558048,85.02801092
mp-558049,57.17725394
mp-558822,53.77195415
mp-559036,51.96268175
mp-559281,123.5731383
mp-559354,163.5290128
mp-560242,198.6427548
mp-560368,109.4218251
mp-560506,109.4831329
mp-560778,162.9745003
mp-560780,169.6496727
mp-562436,151.5112537
mp-562546,169.4567628
mp-562796,151.5112537
mp-573024,76.57094162
mp-578604,250.5170257
mp-578606,226.1068759
mp-578610,177.5772557
mp-622295,86.7719908
mp-637292,192.6558148
mp-6465,120.1729895
mp-6467,94.54823681
mp-683773,151.5112537
mp-7002,260.573942
mp-7433,161.9466241
mp-746030,154.2033123
mp-7469,261.3881786
mp-752506,106.0277052
mp-752558,392.2022421
mp-752583,61.23375773
mp-752810,108.1251644
mp-752947,198.5489488
mp-753049,64.98066482
mp-753218,130.82204
mp-753267,95.78444578
mp-753301,98.27830793
mp-753365,98.60349197
mp-753672,154.2033123
mp-754549,189.3771871
mp-754835,100.9539606
mp-754850,198.5489488
mp-755361,84.37711871
mp-755611,140.3369022
mp-755841,131.1392787
mp-756274,96.20234989
mp-756707,97.92592715
mp-757229,96.21427866
mp-757403,65.87213608
mp-757528,8.204240206
mp-757603,11.59412841
mp-757849,80.70125395
mp-758835,50.35402311
mp-759323,49.94691128
mp-759333,75.04257737
mp-759473,69.33598398
mp-759512,101.8805975
mp-759533,243.8124864
mp-759675,68.06354668
mp-759691,134.899517
mp-759875,172.6998246
mp-759974,62.29860547
mp-759981,82.86085635
mp-760012,74.6623067
mp-760035,100.6238724
mp-760204,13.39875817
mp-760263,160.6557759
mp-760372,124.8510255
mp-760829,147.1957236
mp-760908,130.82204
mp-760911,144.9496307
mp-761042,82.86085635
mp-761044,68.14654508
mp-761046,178.8285875
mp-761050,199.8531827
mp-761052,94.04913086
mp-761059,176.4159107
mp-761066,151.7169186
mp-761067,85.12630591
mp-761068,105.6674187
mp-761084,39.92129501
mp-761085,120.5715265
mp-761087,260.573942
mp-763899,144.9496307
mp-764034,134.899517
mp-764111,84.88179105
mp-764537,156.3316122
mp-765721,215.689434
mp-765742,166.2379497
mp-767526,93.22397963
mp-767550,107.7113924
mp-768574,96.51655586
mp-768598,102.7883137
mp-769465,100.232647
mp-769529,50.11632352
mp-769536,50.11632352
mp-769592,194.9971031
mp-769634,194.2518697
mp-770525,91.79958478
mp-770548,92.90943385
mp-770747,86.33307156
mp-770765,83.32867509
mp-770795,93.25916304
mp-770874,90.72761762
mp-770940,82.06440752
mp-770947,197.06768
mp-770948,189.4882579
mp-770968,142.2367651
mp-771013,98.15328343
mp-771035,166.038029
mp-771041,95.72145479
mp-771066,82.30631955
mp-771138,207.847172
mp-771144,165.5728783
mp-771169,90.26993488
mp-771204,96.78898742
mp-771270,168.1192633
mp-771393,83.09436392
mp-771495,42.22302815
mp-771824,208.5806975
mp-771954,105.9378324
mp-772101,97.10704344
mp-772117,102.6938707
mp-772153,80.86291811
mp-772200,85.27581376
mp-772553,66.06192321
mp-772726,185.7429405
mp-772859,65.75003781
mp-773177,164.008394
mp-773178,105.4980635
mp-773188,96.13875669
mp-774174,136.142488
mp-774778,98.84444187
mp-775855,155.0121968
mp-775862,151.5112537
mp-776196,90.63378747
mp-776294,151.7169186
mp-776557,176.4159107
mp-778480,93.25034345
mp-778594,90.60377286
mp-778858,235.5697164
mp-780164,90.56035138
mp-780462,91.97146445
mp-780528,92.73403382
mp-780565,89.1705087
mp-780786,137.529166
mp-780894,90.80132535
mp-781671,42.2549537
mp-783905,141.9041073
mp-7937,148.8754898
mp-7939,97.8813018
mp-850796,93.0736551
mp-850884,85.52260728
mp-867515,235.2621671
mp-971633,241.8173602
mp-976923,104.2068638
mp-999454,194.1274427
