id_1,prediction,target,molar,Gravimetric Capacticy(mAh/g),Gravimetric Energy(Wh/kg)
Na1Ni0.83Al0.08Cr0.08O2,3.194409,3.1968803,110.0223,243.5996056,778.7587803
Na1Ni0.58Ti0.17Co0.25O2,3.5302992,3.5253935,111.90143,239.5089043,844.3631344
Na1Ni0.83Zn0.08Fe0.08O2,3.1004174,3.093193,113.40441,236.3346266,731.0286126
Na1Ni0.75Cu0.08V0.17O2,3.1412296,3.1333237,112.75235,237.7013773,744.795359
Na1Ni0.83Al0.08Nb0.08O2,3.2162485,3.226964,113.29512,236.5626065,763.3790149
Na1Ni0.83Cu0.08Mn0.08O2,3.1255789,3.138402,113.18281,236.7973448,743.1652606
Na1Ni0.83Ti0.08Fe0.08O2,3.18556,3.2002828,112.00105,239.2958717,765.8144623
Na1Ni0.83Mo0.08Zn0.08O2,3.2562857,3.2733912,116.61201,229.8338644,752.3361491
Na1Ni0.58Zn0.08Co0.33O2,3.7432342,3.7637203,113.71142,235.6965456,887.0958733
Na1Ni0.75Cu0.08Mo0.17O2,3.078813,3.0567858,120.4021,222.5990152,680.4375088
Na1Ni0.83Mo0.08Mn0.08O2,3.1902945,3.1629453,115.77433,231.496817,732.2117694
Na1Ni0.58Cu0.17Ti0.25O2,3.5248067,3.494296,111.80031,239.7255329,837.6719706
Na1Ni0.75Mn0.08Ti0.17O2,3.057761,3.0919428,111.54105,240.282738,742.9404816
Na1Ni0.75Al0.08Cr0.17O2,3.2519894,3.2162545,110.00648,243.6346376,783.5909995
Na1Ni0.83Cu0.08V0.08O2,3.2076995,3.2444906,112.86309,237.4681474,770.4631719
Na1Ni0.58Al0.17Fe0.25O2,3.1991837,3.1618252,107.57885,249.1325097,787.7134472
Na1Ni0.75Mo0.08Nb0.17O2,2.8086016,2.8460164,122.4779,218.8263261,622.7833129
Na1Ni0.83Nb0.08Cr0.08O2,3.1936734,3.231848,115.29629,232.4566462,751.264547
Na1Ni0.75Al0.08Mo0.17O2,3.0458453,3.007593,117.47694,228.1417007,686.1573821
Na1Ni0.83Cu0.08Mo0.08O2,3.2562227,3.2149646,116.46297,230.1279874,739.8533329
Na1Ni0.75Mg0.08Cr0.17O2,3.300434,3.2568681,109.79236,244.1097804,795.0333567
Na1Ni0.75Zn0.08Nb0.17O2,3.0696356,3.1161594,120.03542,223.2790029,695.7729637
Na1Ni0.75Ti0.08Cr0.17O2,3.2068446,3.1592832,111.67732,239.9895421,758.1949285
Na1Ni0.83Zn0.08Cr0.08O2,3.1329277,3.1825104,113.0965,236.9780576,754.1851328
Na1Ni0.75Ti0.08Fe0.17O2,3.1876848,3.23882,112.33163,238.5916495,772.7554061
Na1Ni0.58Zn0.08Ti0.33O2,2.877064,2.8253005,110.05957,243.5171143,688.0090248
Na1Ni0.75Zn0.08Cr0.17O2,3.1884956,3.2433228,113.08068,237.0112108,768.703864
Na1Ni0.75Nb0.08V0.17O2,2.9135165,2.9688556,115.10118,232.8506874,691.3000674
Na1Ni0.75Cr0.08Mn0.17O2,3.3843114,3.324709,112.50777,238.218115,792.0059108
Na1Ni0.75Fe0.08Nb0.17O2,2.9286406,2.9896047,119.2703,224.7113396,671.798077
Na1Ni0.83Al0.08V0.08O2,3.2154603,3.153028,109.93793,243.786552,768.6658245
Na1Ni0.83Fe0.08Mn0.08O2,3.2282615,3.1650364,112.56673,238.0933415,753.5740925
Na1Ni0.83V0.08Mn0.08O2,3.2084973,3.1450605,112.17445,238.9259666,751.4366198
Na1Ni0.83Cu0.08Cr0.08O2,3.234098,3.1635723,112.94746,237.2907623,750.6864828
Na1Ni0.83Fe0.08Cr0.08O2,3.229164,3.1533313,112.33138,238.5921805,752.3601906
Na1Ni0.75Ti0.08Mo0.17O2,3.0767875,3.000472,119.14778,224.9424109,674.9334056
